KPI,N_Long,N_Short,N_Asset,id
MTR_Close,100,10,10,1
MTR_Close,100,15,10,2
MTR_Close,100,20,10,3
MTR_Close,100,25,10,4
MTR_Close,100,30,10,5
MTR_Close,100,40,10,6
MTR_Close,100,50,10,7
MTR_Close,125,10,10,8
MTR_Close,125,15,10,9
MTR_Close,125,20,10,10
MTR_Close,125,25,10,11
MTR_Close,125,30,10,12
MTR_Close,125,40,10,13
MTR_Close,125,50,10,14
MTR_Close,150,10,10,15
MTR_Close,150,15,10,16
MTR_Close,150,20,10,17
MTR_Close,150,25,10,18
MTR_Close,150,30,10,19
MTR_Close,150,40,10,20
MTR_Close,150,50,10,21
MTR_Close,175,10,10,22
MTR_Close,175,15,10,23
MTR_Close,175,20,10,24
MTR_Close,175,25,10,25
MTR_Close,175,30,10,26
MTR_Close,175,40,10,27
MTR_Close,175,50,10,28
MTR_Close,200,10,10,29
MTR_Close,200,15,10,30
MTR_Close,200,20,10,31
MTR_Close,200,25,10,32
MTR_Close,200,30,10,33
MTR_Close,200,40,10,34
MTR_Close,200,50,10,35
MTR_Close,250,10,10,36
MTR_Close,250,15,10,37
MTR_Close,250,20,10,38
MTR_Close,250,25,10,39
MTR_Close,250,30,10,40
MTR_Close,250,40,10,41
MTR_Close,250,50,10,42
MTR_Close,300,10,10,43
MTR_Close,300,15,10,44
MTR_Close,300,20,10,45
MTR_Close,300,25,10,46
MTR_Close,300,30,10,47
MTR_Close,300,40,10,48
MTR_Close,300,50,10,49
MTR_Close_VSSP500,100,10,10,50
MTR_Close_VSSP500,100,15,10,51
MTR_Close_VSSP500,100,20,10,52
MTR_Close_VSSP500,100,25,10,53
MTR_Close_VSSP500,100,30,10,54
MTR_Close_VSSP500,100,40,10,55
MTR_Close_VSSP500,100,50,10,56
MTR_Close_VSSP500,125,10,10,57
MTR_Close_VSSP500,125,15,10,58
MTR_Close_VSSP500,125,20,10,59
MTR_Close_VSSP500,125,25,10,60
MTR_Close_VSSP500,125,30,10,61
MTR_Close_VSSP500,125,40,10,62
MTR_Close_VSSP500,125,50,10,63
MTR_Close_VSSP500,150,10,10,64
MTR_Close_VSSP500,150,15,10,65
MTR_Close_VSSP500,150,20,10,66
MTR_Close_VSSP500,150,25,10,67
MTR_Close_VSSP500,150,30,10,68
MTR_Close_VSSP500,150,40,10,69
MTR_Close_VSSP500,150,50,10,70
MTR_Close_VSSP500,175,10,10,71
MTR_Close_VSSP500,175,15,10,72
MTR_Close_VSSP500,175,20,10,73
MTR_Close_VSSP500,175,25,10,74
MTR_Close_VSSP500,175,30,10,75
MTR_Close_VSSP500,175,40,10,76
MTR_Close_VSSP500,175,50,10,77
MTR_Close_VSSP500,200,10,10,78
MTR_Close_VSSP500,200,15,10,79
MTR_Close_VSSP500,200,20,10,80
MTR_Close_VSSP500,200,25,10,81
MTR_Close_VSSP500,200,30,10,82
MTR_Close_VSSP500,200,40,10,83
MTR_Close_VSSP500,200,50,10,84
MTR_Close_VSSP500,250,10,10,85
MTR_Close_VSSP500,250,15,10,86
MTR_Close_VSSP500,250,20,10,87
MTR_Close_VSSP500,250,25,10,88
MTR_Close_VSSP500,250,30,10,89
MTR_Close_VSSP500,250,40,10,90
MTR_Close_VSSP500,250,50,10,91
MTR_Close_VSSP500,300,10,10,92
MTR_Close_VSSP500,300,15,10,93
MTR_Close_VSSP500,300,20,10,94
MTR_Close_VSSP500,300,25,10,95
MTR_Close_VSSP500,300,30,10,96
MTR_Close_VSSP500,300,40,10,97
MTR_Close_VSSP500,300,50,10,98
